Model Name / Instruction Number,1,2,3,4,5,6,7,8,9,10,avg score
TheBloke/Orca-2-13B-AWQ,0.634,0.473,0.752,0.623,0.551,0.292,0.699,0.792,0.773,0.703,0.629
microsoft/Orca-2-7b,0.635,0.544,0.761,0.608,0.624,0.978,0.387,0.663,0.747,0.634,0.658
01-ai/Yi-6B,0.53,0.375,0.713,0.605,0.598,0.418,0.595,0.506,0.488,0.589,0.542
WizardLM/WizardLM-13B-V1.1,0.637,0.584,0.652,0.677,0.652,0.923,0.731,0.721,0.736,0.669,0.698
TheBloke/WizardLM-7B-V1.0-Uncensored-GPTQ,0.653,0.585,0.757,0.733,0.673,0.813,0.699,0.722,0.708,0.704,0.705
TheBloke/llava-v1.5-13B-AWQ,0.657,0.542,0.738,0.727,0.78,0.662,0.343,0.741,0.527,0.741,0.646
TheBloke/vicuna-7B-v1.5-GPTQ,0.623,0.573,0.634,0.73,0.662,0.716,0.694,0.695,0.678,0.779,0.678
TheBloke/tulu-2-dpo-13B-AWQ,0.611,0.583,0.681,0.346,0.667,0.419,0.713,0.709,0.723,0.763,0.621
timdettmers/guanaco-7b,0.567,0.517,0.613,0.664,0.649,0.59,0.695,0.71,0.724,0.738,0.647
TheBloke/guanaco-13B-GPTQ,0.562,0.44,0.513,0.613,0.615,0.507,0.606,0.615,0.646,0.625,0.574
