Model Name / Instruction Number,1,2,3,4,5,6,7,8,9,10,avg score
TheBloke/Orca-2-13B-AWQ,0.537,0.735,0.697,0.599,0.562,0.689,0.768,0.648,0.554,0.657,0.645
microsoft/Orca-2-7b,0.561,0.492,0.653,0.645,0.566,0.534,0.622,0.581,0.424,0.724,0.58
01-ai/Yi-6B,0.356,0.624,0.458,0.276,0.326,0.648,0.384,0.493,0.41,0.426,0.44
WizardLM/WizardLM-13B-V1.1,0.569,0.591,0.641,0.616,0.558,0.553,0.65,0.644,0.592,0.765,0.618
TheBloke/WizardLM-7B-V1.0-Uncensored-GPTQ,0.562,0.583,0.667,0.5,0.672,0.687,0.657,0.637,0.54,0.761,0.627
TheBloke/llava-v1.5-13B-AWQ,0.542,0.602,0.716,0.627,0.572,0.554,0.679,0.641,0.548,0.741,0.622
TheBloke/vicuna-7B-v1.5-GPTQ,0.563,0.618,0.655,0.679,0.589,0.763,0.7,0.597,0.589,0.728,0.648
TheBloke/tulu-2-dpo-13B-AWQ,0.564,0.589,0.687,0.622,0.571,0.599,0.697,0.293,0.542,0.742,0.591
timdettmers/guanaco-7b,0.583,0.566,0.693,0.615,0.523,0.731,0.685,0.625,0.565,0.732,0.632
TheBloke/guanaco-13B-GPTQ,0.563,0.608,0.629,0.586,0.51,0.629,0.593,0.588,0.423,0.683,0.581
