Model Name / Instruction Number,1,2,3,4,5,6,7,8,9,10,avg score
TheBloke/Orca-2-13B-AWQ,0.117,0.027,0.213,0.059,0.054,0.002,0.204,0.277,0.215,0.11,0.128
microsoft/Orca-2-7b,0.108,0.035,0.213,0.053,0.054,0.826,0.004,0.117,0.203,0.07,0.168
01-ai/Yi-6B,0.053,0.016,0.187,0.086,0.077,0.0,0.156,0.031,0.11,0.059,0.077
WizardLM/WizardLM-13B-V1.1,0.072,0.048,0.115,0.108,0.082,0.452,0.198,0.175,0.207,0.086,0.154
TheBloke/WizardLM-7B-V1.0-Uncensored-GPTQ,0.048,0.064,0.213,0.182,0.109,0.291,0.214,0.214,0.142,0.112,0.159
TheBloke/llava-v1.5-13B-AWQ,0.119,0.047,0.213,0.146,0.233,0.119,0.013,0.263,0.041,0.152,0.135
TheBloke/vicuna-7B-v1.5-GPTQ,0.065,0.034,0.095,0.174,0.079,0.184,0.21,0.201,0.089,0.199,0.133
TheBloke/tulu-2-dpo-13B-AWQ,0.067,0.053,0.139,0.0,0.061,0.0,0.207,0.216,0.204,0.17,0.112
timdettmers/guanaco-7b,0.086,0.039,0.064,0.105,0.082,0.03,0.154,0.186,0.22,0.158,0.112
TheBloke/guanaco-13B-GPTQ,0.05,0.021,0.031,0.047,0.066,0.025,0.142,0.089,0.107,0.049,0.063
