Model Name / Instruction Number,1,2,3,4,5,6,7,8,9,10,avg score
TheBloke/Orca-2-13B-AWQ,0.055,0.171,0.118,0.072,0.079,0.247,0.194,0.156,0.019,0.086,0.12
microsoft/Orca-2-7b,0.043,0.033,0.128,0.097,0.077,0.076,0.057,0.106,0.016,0.204,0.084
01-ai/Yi-6B,0.022,0.064,0.066,0.009,0.0,0.019,0.042,0.076,0.007,0.032,0.034
WizardLM/WizardLM-13B-V1.1,0.054,0.046,0.083,0.073,0.073,0.026,0.064,0.103,0.007,0.177,0.071
TheBloke/WizardLM-7B-V1.0-Uncensored-GPTQ,0.116,0.054,0.102,0.045,0.194,0.178,0.145,0.131,0.014,0.208,0.119
TheBloke/llava-v1.5-13B-AWQ,0.091,0.075,0.171,0.083,0.113,0.043,0.136,0.147,0.004,0.235,0.11
TheBloke/vicuna-7B-v1.5-GPTQ,0.086,0.087,0.125,0.134,0.117,0.26,0.126,0.043,0.011,0.189,0.118
TheBloke/tulu-2-dpo-13B-AWQ,0.058,0.063,0.101,0.071,0.109,0.068,0.112,0.0,0.008,0.199,0.079
timdettmers/guanaco-7b,0.067,0.042,0.151,0.061,0.074,0.22,0.088,0.135,0.01,0.128,0.098
TheBloke/guanaco-13B-GPTQ,0.084,0.09,0.091,0.135,0.061,0.138,0.08,0.072,0.001,0.144,0.09
