Model Name / Instruction Number,1,2,3,4,5,6,7,8,9,10,avg score
TheBloke/Orca-2-13B-AWQ,0.278,0.119,0.37,0.128,0.165,0.007,0.263,0.383,0.241,0.23,0.218
microsoft/Orca-2-7b,0.226,0.081,0.408,0.144,0.137,0.909,0.03,0.193,0.23,0.197,0.256
01-ai/Yi-6B,0.191,0.08,0.375,0.193,0.174,0.0,0.267,0.13,0.251,0.156,0.182
WizardLM/WizardLM-13B-V1.1,0.216,0.148,0.255,0.195,0.203,0.762,0.27,0.283,0.24,0.195,0.277
TheBloke/WizardLM-7B-V1.0-Uncensored-GPTQ,0.15,0.168,0.408,0.273,0.21,0.606,0.247,0.274,0.132,0.236,0.27
TheBloke/llava-v1.5-13B-AWQ,0.275,0.168,0.407,0.267,0.284,0.377,0.01,0.376,0.096,0.319,0.258
TheBloke/vicuna-7B-v1.5-GPTQ,0.198,0.103,0.23,0.257,0.198,0.316,0.261,0.262,0.157,0.338,0.232
TheBloke/tulu-2-dpo-13B-AWQ,0.191,0.137,0.214,0.0,0.182,0.0,0.281,0.308,0.201,0.291,0.18
timdettmers/guanaco-7b,0.182,0.147,0.171,0.206,0.182,0.105,0.227,0.249,0.208,0.291,0.197
TheBloke/guanaco-13B-GPTQ,0.144,0.09,0.103,0.092,0.186,0.062,0.179,0.154,0.157,0.127,0.129
